cui_1,relship,cui_2
C0028351,TREATS(INFER),C0036983
C0042413,higher_than,C0028351
C0042413,TREATS,C1516213
C0042413,TREATS(INFER),C0036983
C1708063,USES,C0042397
C0031831,NEG_ISA,C0027361
C0086530,NEG_ISA,C0027361
C0019993,TREATS,C0009566
C3897254,PRECEDES,C0019993
C0005558,DIAGNOSES,C0376358
C0019994,LOCATION_OF,C0005558
C0005558,PRECEDES,C0019993
C0004659,PROCESS_OF,C0025266
C3714514,PROCESS_OF,C0025266
C0278704,PROCESS_OF,C0030705
C0314756,CAUSES,C0012634
C0027819,PROCESS_OF,C0870221
C2825926,TREATS,C0027819
C1550225,LOCATION_OF,C0007439
C0317740,CAUSES,C3714514
C0004610,PROCESS_OF,C1007431
C0750952,PROCESS_OF,C0030705
C0579220,CAUSES,C3714514
C3714514,PROCESS_OF,C0086418
C0518609,PROCESS_OF,C0030705
C0279068,ISA,C0006826
C0071216,PART_OF,C1749467
C0677881,CAUSES,C0023530
C0700287,TREATS,C0030705
C0275524,CAUSES,C0004610
C0023885,COEXISTS_WITH,C0238748
C0238748,PROCESS_OF,C0030705
C0234233,PROCESS_OF,C0030705
C1328050,TREATS,C0030705
C0074992,CAUSES,C0854135
C0038402,LOCATION_OF,C0074992
C0014344,LOCATION_OF,C0074992
C0022727,LOCATION_OF,C0074992
C0036765,LOCATION_OF,C0074992
C0278252,PROCESS_OF,C0030705
C0040395,DIAGNOSES,C0012359
C0282624,TREATS,C0016169
C0282624,TREATS,C1142182
C3814448,TREATS,C0007113
C2744535,compared_with,C4505038
C0193072,TREATS,C0332853
C0193072,PRECEDES,C0332853
C0023434,PROCESS_OF,C0030705
C0035139,USES,C0021027
C0020964,PROCESS_OF,C0030705
C0021051,PROCESS_OF,C0030705
C0199176,TREATS,C0030705
C0199176,TREATS(INFER),C0021051
C0199176,TREATS(INFER),C0023434
C0199176,USES,C0021027
C0036690,OCCURS_IN,C1516213
C0005953,LOCATION_OF,C1504389
C1504389,ISA,C0087111
C0006560,PREDISPOSES,C0004610
C0013216,TREATS,C0085669
C0072027,PREDISPOSES,C0004610
C0013216,TREATS,C0746883
C2826293,PROCESS_OF,C0030705
C0013216,TREATS(INFER),C0746883
C0030705,LOCATION_OF,C0006560
C0030705,LOCATION_OF,C0072027
C1257890,LOCATION_OF,C0006560
C1257890,LOCATION_OF,C0072027
C0746883,AFFECTS,C0030705
C0006560,ASSOCIATED_WITH,C0004610
C0005516,PREDISPOSES,C0004610
C0024312,COEXISTS_WITH,C0026764
C0026764,PROCESS_OF,C0030705
C3714514,AFFECTS,C0030705
C0013216,TREATS,C0026764
C0026764,PROCESS_OF,C0021562
C0026764,OCCURS_IN,C0030705
C0442751,PROCESS_OF,C0030705
C0677881,ADMINISTERED_TO,C0030705
C0013216,ADMINISTERED_TO,C0030705
C0008976,USES,C0013216
C0013216,TREATS(INFER),C0026764
C0854467,PROCESS_OF,C1257890
C3714514,PROCESS_OF,C1257890
C2239176,AFFECTS,C0030705
C0072470,AFFECTS,C0023907
C0072470,AFFECTS,C1326120
C0080222,INTERACTS_WITH,NA
C2239176,PROCESS_OF,C0030705
C0080222,NEG_DISRUPTS,C0018270
C0334227,PART_OF,C0023884
C0026882,PROCESS_OF,C0030705
C0026882,PROCESS_OF,C0920288
C0080222,PREVENTS,C2239176
C0524910,PROCESS_OF,C0030705
C3266990,PROCESS_OF,C0030705
C0004610,PROCESS_OF,C0085479
C0085479,ISA,C0004611
C0003232,COEXISTS_WITH,C1541483
C1541483,TREATS,C2717961
C0003461,LOCATION_OF,C0086447
C1142182,AFFECTS,C2584321
C4505465,AFFECTS,C0009566
C0018939,PROCESS_OF,C0150775
C0023473,PROCESS_OF,C0030705
C0343532,PROCESS_OF,C0030705
C0579233,CAUSES,C0343532
C1623038,PROCESS_OF,C0030705
C0023473,COMPLICATES,C0563247
C0023473,PROCESS_OF,C0043210
C1623038,COMPLICATES,C0563247
C1623038,PROCESS_OF,C0043210
C4048756,LOCATION_OF,C0563247
C0023418,PROCESS_OF,C0030705
C0023473,CAUSES,C0023530
C0023473,PROCESS_OF,C1999167
C0272183,CAUSES,C0023530
C1268567,CAUSES,C0023530
C1623038,CAUSES,C0023530
C0010340,PROCESS_OF,C0030705
C0036690,COEXISTS_WITH,C0349410
C0678209,PROCESS_OF,C0086418
C1515879,LOCATION_OF,C0040649
C4048280,AFFECTS,C0036690
C2744535,ASSOCIATED_WITH,C0036690
C0007584,DIAGNOSES,C0012634
C0012634,COEXISTS_WITH,C0036690
C0278484,PROCESS_OF,C0030705
C0013081,PROCESS_OF,C0026473
C0020969,ASSOCIATED_WITH,C0012634
C0036690,PROCESS_OF,C0599755
C0039215,LOCATION_OF,C0040649
C0242629,LOCATION_OF,C0040649
C0036690,CAUSES,C1373218
C1426208,STIMULATES,C0007634
C1426212,STIMULATES,C0007634
C0111208,AUGMENTS,C0036690
C1418401,AUGMENTS,C0036690
C1823649,AUGMENTS,C0036690
C3539652,AUGMENTS,C0036690
C0006826,COEXISTS_WITH,C0012634
C0150312,COEXISTS_WITH,C0012634
C0677850,AFFECTS,C0040649
C0037995,TREATS,C0030705
C0037995,TREATS(INFER),C0877373
C0205065,LOCATION_OF,C0877373
C0877373,PROCESS_OF,C0030705
C0037995,CAUSES,C0023518
C0037995,CAUSES,C0836924
C0043251,PROCESS_OF,C0030705
