pmid,cui
31280226,C0035204
31280226,C0031154
31280226,C2744535
31280226,C3698200
31280226,C0184893
31280226,C0199470
31280226,C0036690
31274245,C0006826
31274245,C0282638
31274245,C0013216
31274245,C0362063
31274245,C0472699
31274245,C0023530
31274245,C0041044
31274245,C0949665
31274245,C0282386
31274245,C3536856
31272128,C0005558
31272128,C0033572
31272128,C1764827
31272128,C0006968
31254201,C0013216
31254201,NA
31254201,C0011065
31254201,C0679246
31243586,C0036983
31243586,C0280100
31229302,C0006826
31229302,C0027651
31229302,C0022877
31229302,C0677874
31229302,C0876973
31229302,C0004610
31229302,C0278704
31223415,C0021368
31223415,C0030326
31223415,C0030328
31223415,C0036690
31223415,C0011906
31223415,C0032952
31223415,C0030705
31209094,C0036690
31209094,C0587437
31209094,C0030705
31209094,C0006826
31209094,C3842672
31199485,C0010031
31199485,NA
31199485,C0006826
31199485,C0036690
31199485,C0150312
31199485,C0018270
31199485,C0040300
31198017,C0006826
31198017,C0036690
31198017,C0746883
31189573,C0036690
31189573,C0079722
31189573,C1998319
31187401,C1328050
31187401,C0023530
31187401,C0013216
31187401,C0022727
31187401,C0749647
31182076,C0011847
31182076,C0199176
31176049,C0020699
31176049,C0007103
31176049,C1515089
31168220,C0038941
31168220,C0004623
31168220,C0030446
31168220,C0035078
31168220,C0151859
31168220,C1719672
31168220,C0000726
31168220,C0040395
31168220,C0817096
31157456,C0042749
31157456,C1333977
31157456,C0280274
31153724,C0006826
31153724,C0010340
31153724,C0036690
31153724,C0085555
31130253,C0939537
31129580,C0748042
31129580,C0011065
31129580,C0949285
31129580,C0004610
31129580,C3656593
31127910,C0746883
31127910,C0004610
31127910,C1516213
31127910,C0280100
31127910,C0018150
31127910,C0038174
31127910,C1764827
31119460,C0036690
31119460,C1261322
31118407,C0033972
31118404,C0033972
31113382,C0877445
31113382,C0440790
31113382,C0178784
31112757,C0022688
31112757,C0023977
31112757,C0004561
31112757,C0039194
31112757,C0209368
31112757,C0007584
31112757,C0472699
31111760,C0023467
31111760,C0677881
31107310,C0003968
31107310,C0232805
31107310,C0018995
31098865,C0280100
31098865,C0877445
31098865,C0074992
31098865,C1145640
31098865,C0030548
31098865,C0678026
31098865,C0035648
31095161,C0006826
31090550,NA
31090550,C1414672
31079721,C0085082
31070079,C0020028
31066353,C0004610
31066353,C1145640
31066353,C0332149
31053499,C0909825
31053499,C0021853
31053499,C0023890
31053499,C1149384
31053499,C0524909
31053499,C2239176
31053499,NA
31053499,C0023895
31053499,C0032105
31053499,C0275551
31053499,C3850141
31053499,C0022924
31053499,C0030705
31053499,C1168005
31046849,C0085669
31046849,C0746883
31046849,C0006968
31046849,C0003232
31044308,C1096243
31044308,C0030705
31044308,C1275732
31037986,C0001483
31037986,C1825598
31037986,C0011065
31037986,C1145670
31036123,C0015252
31036123,C0015450
31036123,C0022378
31036123,C0031154
31036123,C0043246
